Categoria,Marca,Modelo,Especificaciones,Precio_CLP,Stock
Fuente_Poder,Xpg,Fuente De Poder Xpg Pylon 750w 80 Plus Bronze,Fuente De Poder Xpg Pylon 750w 80 Plus Bronze,82990,Alta
Fuente_Poder,Orange Tech,Cable Poder Trebol Para Cargadores De Notebook Reforzado Color Negro,Cable Poder Trebol Para Cargadores De Notebook Reforzado Color Negro,1989,Alta
Fuente_Poder,Startech,Cable Micro Usb (blanco) - A A Micro B,Cable Micro Usb (blanco) - A A Micro B,13990,Alta
Fuente_Poder,Esgaming,FUENTE PODER 650W/80 PLUS BRONZE CERTIFICADA ES-RGB650W ESGAMING,FUENTE PODER 650W/80 PLUS BRONZE CERTIFICADA ES-RGB650W ESGAMING,52590,Alta
Fuente_Poder,Thermaltake,Fuente de poder para PC Thermaltake Smart SP-750AH3NCB-A 750W negra,Fuente de poder para PC Thermaltake Smart SP-750AH3NCB-A 750W negra,85990,Alta
Fuente_Poder,Cougar,Fuente De Poder 850w - Cougar Ges 850 80plus Gold Atx Negro,Fuente De Poder 850w - Cougar Ges 850 80plus Gold Atx Negro,99990,Alta
Fuente_Poder,Be Quiet!,"Fuente De Poder Be Quiet! System Power 11 U, 650w,80+ Bronze Color Negro","Fuente De Poder Be Quiet! System Power 11 U, 650w,80+ Bronze Color Negro",61990,Alta
Fuente_Poder,Be Quiet!,Fuente De Poder Be Quiet! Pure Power 13 M 850W 80 Plus Gold ATX,Fuente De Poder Be Quiet! Pure Power 13 M 850W 80 Plus Gold ATX,117990,Alta
Fuente_Poder,Utek,Adaptador Corriente Monitor Hp M22f M24f M27f 19.5v 2.31a ,Adaptador Corriente Monitor Hp M22f M24f M27f 19.5v 2.31a ,19980,Alta
Fuente_Poder,,Kit Cables De Extensión Cooler Master Conector Universal,Kit Cables De Extensión Cooler Master Conector Universal,40900,Alta
Fuente_Poder,Genérica,Fuente De Alimentacion Adaptador De Corriente 12v ,Fuente De Alimentacion Adaptador De Corriente 12v ,15500,Alta
Fuente_Poder,Xtech,Fuente de Poder ATX Xtech 500W CS850XTK09 para PC Conector 12V 4 Pines,Fuente de Poder ATX Xtech 500W CS850XTK09 para PC Conector 12V 4 Pines,14990,Alta
Fuente_Poder,Antec,Fuente de Poder Modular 650W Antec Neo Eco NE650M 80 Plus Bronze,Fuente de Poder Modular 650W Antec Neo Eco NE650M 80 Plus Bronze,130900,Alta
Monitor,,Pantalla Doble Extensible Desmontable Portátil 14p 1080p Hd,Pantalla Doble Extensible Desmontable Portátil 14p 1080p Hd,252199,Alta
Monitor,Hp,Monitor HP M22f FHD,Monitor HP M22f FHD,84990,Alta
Monitor,Gigabyte,Monitor Gamer Gigabyte Go27q24 27 Qhd Panel Oled 240hz Hdr10 0.03ms Diseño Ergonómico,Monitor Gamer Gigabyte Go27q24 27 Qhd Panel Oled 240hz Hdr10 0.03ms Diseño Ergonómico,469990,Alta
Monitor,Samsung,"Monitor Gamer Samsung G30D Odyssey G3 27"""" VA FHD 1920*1080 DP HDMI 180HZ 1ms","Monitor Gamer Samsung G30D Odyssey G3 27"""" VA FHD 1920*1080 DP HDMI 180HZ 1ms",113990,Alta
Monitor,Lg,Monitor LG Ultragear Oled 27gs95qe-b 27'' 240hz Freesync Pro,Monitor LG Ultragear Oled 27gs95qe-b 27'' 240hz Freesync Pro,566900,Alta
Monitor,Lenovo,"Monitor Lenovo 24"""" L24-4e ","Monitor Lenovo 24"""" L24-4e ",89990,Alta
Monitor,Arzopa,Monitor Portatil 14 Pulgadas 1080p Hdr Ips 60h A1 Gamut Slim Arzopa,Monitor Portatil 14 Pulgadas 1080p Hdr Ips 60h A1 Gamut Slim Arzopa,77990,Alta
Monitor,Lg,Monitor LG 27 Led 27ms500 Hdmi Full Hd Ct Color Negro,Monitor LG 27 Led 27ms500 Hdmi Full Hd Ct Color Negro,99900,Alta
Monitor,Asiaquality,Extensor de pantalla para notebook M4 AsiaQuality 15.6'' un cable dos pantallas Full HD IPS rotación vertical,Extensor de pantalla para notebook M4 AsiaQuality 15.6'' un cable dos pantallas Full HD IPS rotación vertical,194214,Alta
Monitor,Msi,Monitor Gamer 27  -  Msi Mag 275qf - Wqhd - 0.5ms - 180 Hz,Monitor Gamer 27  -  Msi Mag 275qf - Wqhd - 0.5ms - 180 Hz,175990,Alta
Monitor,Samsung,Monitor Gamer Odyssey G5 G50F 27'' QHD 180Hz,Monitor Gamer Odyssey G5 G50F 27'' QHD 180Hz,209990,Alta
Monitor,Lg,"Monitor Gamer 24"""" UltraGear - Full HD, Panel IPS, 180Hz(1ms), FreeSync Premium, HDR10 (24GS60F-B)","Monitor Gamer 24"""" UltraGear - Full HD, Panel IPS, 180Hz(1ms), FreeSync Premium, HDR10 (24GS60F-B)",119990,Alta
Monitor,Samsung,"Monitor Samsung M5 M50F Smart 32"""" FHD 1920*1080 VA HDMI BT 60Hz 4ms(GTG) Tyzen","Monitor Samsung M5 M50F Smart 32"""" FHD 1920*1080 VA HDMI BT 60Hz 4ms(GTG) Tyzen",196990,Alta
Monitor,Samsung,"Monitor Comercial Samsung QB75C 75"""" 4K 3840*2160 VA HDMI LAN WIFI BT 8ms","Monitor Comercial Samsung QB75C 75"""" 4K 3840*2160 VA HDMI LAN WIFI BT 8ms",1094990,Alta
Monitor,Samsung,"Monitor Curvo Samsung S36GD 27"""" FHD 1920*1080 VA VGA HDMI 100Hz  4 GTG","Monitor Curvo Samsung S36GD 27"""" FHD 1920*1080 VA VGA HDMI 100Hz  4 GTG",133990,Alta
